,Title,Document type,Reference Number,Date,Source,Status,Subject,Meeting,Treaty,Website,Field of application,Abstract
0,"Memorandum of Cooperation Between Ministry of the Environment of Japan and Ministry of Environment, Water, and Agriculture of the Kingdom of Saudi Arabia in the Field of Environment",Bilateral,No Data,"Dec 16, 2020","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-160084)",No Data,"Agricultural &amp; rural development, Water, Environment gen.",No Data,No Data,www.mewa.gov.sa,,"The MoC aims to strengthen collaboration on environmental protection and preservation and strategic planning, as well as to promote studies on environmental technologies and capacity building. Indeed, both parties will strengthen their collaboration to protect and preserve the environment through water quality and wastewater management, marine protection, combating land degradation and desertification, integrated coastal zone management planning for the protection of coastal infrastructure, residential areas, industrial complexes, desalination plants and seaports, as well as early warning systems to reduce vulnerability to extreme weather events."
1,"Protocol agreement on tourist movements within the Sangha tri-national xe2x80x93 TNS among the governments of the Republic of Cameroon, the central African Republic, the Republic of Congo, as part of the cooperation agreement to establish the Sangha Tri-national (TNS)",Multilateral,No Data,"Oct 17, 2019",IUCN (ID: TRE-160089),No Data,Environment gen.,No Data,No Data,No Data,Regional/restricted,The States Parties undertake to put in place regulations to facilitate the movement of tourists in the TNS.
2,"Accord tripartite entre la Rxc3xa9publique du Bxc3xa9nin, le Burkina Faso et la Rxc3xa9publique du Niger relatif xc3xa0 la gestion harmonisxc3xa9e des aires protxc3xa9gxc3xa9es du complexe transfrontalier W-Arly-Pendjari",Multilateral,No Data,"May 9, 2019",IUCN (ID: TRE-160087),No Data,Wild species &amp; ecosystems,No Data,No Data,No Data,Regional/restricted,"This tripartite agreement concerns the development of the W, Pendjari and Arly parks shared by three neighbouring countries: Benin, Burkina Faso and Niger. The main objective of this agreement is to promote and encourage cooperation between the States Parties based on coordinated and concerted solidarity for the harmonised and sustainable management of the natural resources of the W-Arly-Pendjari complex. Indeed, it aims at a concerted management of these three parks in order to preserve the ecosystem and to develop tourism.  Through this agreement, the three countries not only want to ensure the security of these shared natural heritages, but also to enable the local populations to better benefit from the wealth they generate."
3,"Regional Agreement on Access to Information, Public Participation and Justice in Environmental Matters in Latin America and the Caribbean",Multilateral,No Data,"Mar 4, 2018",IUCN (ID: TRE-160060),No Data,Environment gen.,No Data,No Data,No Data,Regional/restricted,No Data
4,Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer,Multilateral,No Data,"Oct 15, 2016",IUCN (ID: TRE-160057),No Data,Air &amp; atmosphere,No Data,No Data,treaties.un.org,Global,"Following seven years of negotiations, the 197 Montreal Protocol parties reached a compromise, under which developed countries will start to phase down HFCs by 2019. Developing countries will follow with a freeze of HFCs consumption levels in 2024, with some countries freezing consumption in 2028.  By the late 2040s, all countries are expected to consume no more than 15-20 per cent of their respective baselines. (Source: http://www.unep.org/Documents.Multilingual/Default.asp?DocumentID=27086&ArticleID=36283&l=en)"
5,Protocol amending the Benelux Convention on the Hunting and Protection of Birds,Multilateral,No Data,"Feb 17, 2016",IUCN (ID: TRE-160053),No Data,Wild species &amp; ecosystems,No Data,No Data,www.benelux.int,Regional/restricted,"Les Parties Contractantes ont donc decide de modifier la Convention par le biais du present Protocole, afin de clairement limiter la portee de la Convention au seul exercice de la chasse proprement dit, et ce en vue de permettre en cas de necessite, des actes de destruction dans des conditions de temps et de lieu plus larges que celles qui s\'imposent a I\'exercice de la chasse, et avec des moyens plus appropries que ceux qui sont autorises pour la chasse. (Source: http://www.benelux.int/files/6114/5623/4038/M20158-Protocole__EDMC_signe.pdf)"
6,Paris Agreement,Multilateral,No Data,"Dec 12, 2015",IUCN (ID: TRE-160054),No Data,Air &amp; atmosphere,No Data,No Data,treaties.un.org,Global,"The Paris Agreement\xe2\x80\x99s central aim is to strengthen the global response to the threat of climate change by keeping a global temperature rise this century well below 2 degrees Celsius above pre-industrial levels and to pursue efforts to limit the temperature increase even further to 1.5 degrees Celsius. Additionally, the agreement aims to strengthen the ability of countries to deal with the impacts of climate change. To reach these ambitious goals, appropriate financial flows, a new technology framework and an enhanced capacity building framework will be put in place, thus supporting action by developing countries and the most vulnerable countries, in line with their own national objectives. The Agreement also provides for enhanced transparency of action and support through a more robust transparency framework. (Source: http://unfccc.int/paris_agreement/items/9485.php)"
7,Amendment to article 124 of the Rome Statute of the International Criminal Court,Multilateral,No Data,"Nov 26, 2015",IUCN (ID: TRE-160048),No Data,Legal questions,No Data,No Data,treaties.un.org,Global,"Deletion of Article 124, which allows a new State Party to opt for excluding from the Court\xe2\x80\x99s jurisdiction war crimes allegedly committed by its nationals or on its territory for a period of seven years. (Source: https://www.icc-cpi.int/en_menus/asp/reviewconference/Pages/rome%20statute%20amendment%20proposals.aspx)"
8,"International Agreement on Olive Oil and Table Olives, 2015",Multilateral,No Data,"Oct 9, 2015",IUCN (ID: TRE-160056),No Data,Food &amp; nutritio,No Data,No Data,treaties.un.org,Global,"This new text takes into account developments in the world olive and olive oil industry. It reasserts the role of the IOC as a world centre for documentation and information dissemination about the olive and its products and as a forum for industry stakeholders. It also places emphasis on standardising national and international legislation on the physical, chemical and organoleptic characteristics of olive oils, olive pomace oils and table olives in order to prevent obstacles to trade. (Source: http://www.internationaloliveoil.org/news/view/682-year-2015-news/630-new-2015-agreement-is-adopted)"
9,"Agreement between the Government of the United States of America and the Government of the Russian Federation on Cooperation for the Purposes of Preventing, Deterring and Eliminating Illegal, Unreport",Bilateral,No Data,"Sep 11, 2015","FAO, FAOLEX;&nbsp;\n        \n        IUCN (ID: TRE-160051)",No Data,Fisheries,No Data,No Data,www.state.gov,Regional/restricted,"The agreement aims to improve coordination among the multiple government agencies in both countries that need to work together to address IUU fishing. In the United States, the agreement has the strong support of the fishing industry based in the Pacific Northwest/Alaska region, as well as the environmental community. This agreement also supports the recommendations of the Presidential Task Force on Combatting IUU Fishing and Seafood Fraud. (Source: http://www.state.gov/r/pa/prs/ps/2015/09/246833.htm)"
